neuron_id,spike_time
0,3516.8999999999996 ms
0,3519.45 ms
0,3522.8 ms
0,3527.3 ms
0,3549.0999999999995 ms
0,3554.8 ms
0,3565.5999999999995 ms
0,3570.0999999999995 ms
0,3576.05 ms
0,3581.0999999999995 ms
0,3597.5 ms
0,3603.55 ms
0,3608.9000000000005 ms
0,3615.3499999999995 ms
0,3617.8499999999995 ms
0,3625.3499999999995 ms
0,3645.75 ms
0,3650.3500000000004 ms
0,3658.5499999999993 ms
0,3660.1499999999996 ms
0,3663.6499999999996 ms
0,3664.0 ms
0,3664.6499999999996 ms
0,3664.7999999999993 ms
0,3665.3999999999996 ms
0,3672.3499999999995 ms
0,3694.499999999999 ms
0,3707.1499999999996 ms
0,3708.0 ms
0,3708.699999999999 ms
0,3717.6499999999996 ms
0,3719.0499999999993 ms
0,3723.1499999999996 ms
0,3726.249999999999 ms
0,3732.749999999999 ms
0,3738.6499999999987 ms
0,3743.7999999999993 ms
0,3760.5499999999993 ms
0,3761.5999999999995 ms
0,3766.0499999999993 ms
0,3769.8999999999996 ms
0,3772.8499999999985 ms
0,3782.199999999999 ms
0,3783.0499999999993 ms
0,3783.3999999999987 ms
0,3798.699999999999 ms
0,3800.5999999999985 ms
0,3805.8499999999985 ms
0,3818.2999999999993 ms
0,3819.199999999999 ms
0,3826.0999999999985 ms
0,3832.7999999999993 ms
0,3834.7999999999993 ms
0,3848.7999999999993 ms
0,3849.999999999998 ms
0,3852.0499999999993 ms
0,3854.699999999999 ms
0,3867.1499999999987 ms
0,3869.0499999999984 ms
0,3869.199999999999 ms
0,3879.2999999999993 ms
0,3881.999999999998 ms
0,3883.749999999998 ms
0,3897.449999999999 ms
0,3908.5999999999985 ms
0,3910.199999999999 ms
0,3916.0499999999984 ms
0,3919.449999999998 ms
0,3922.0499999999984 ms
0,3922.199999999998 ms
0,3933.999999999999 ms
0,3961.0499999999984 ms
0,3969.199999999999 ms
0,3976.249999999999 ms
0,3982.0499999999993 ms
0,3985.949999999999 ms
0,3989.5 ms
0,3997.949999999999 ms
0,4019.199999999999 ms
0,4046.3999999999996 ms
0,4048.3499999999985 ms
0,4073.249999999999 ms
0,4075.999999999999 ms
0,4079.949999999999 ms
0,4086.2999999999993 ms
0,4092.699999999999 ms
0,4097.0999999999985 ms
0,4101.449999999999 ms
0,4104.249999999998 ms
0,4104.749999999998 ms
0,4119.85 ms
0,4121.249999999998 ms
0,4124.1 ms
0,4129.9 ms
0,4138.4 ms
0,4141.199999999999 ms
0,4151.85 ms
0,4156.249999999998 ms
0,4156.65 ms
0,4160.8499999999985 ms
0,4162.999999999998 ms
0,4174.3499999999985 ms
0,4174.549999999999 ms
0,4188.549999999999 ms
0,4189.499999999998 ms
0,4190.799999999997 ms
0,4199.0999999999985 ms
0,4201.499999999998 ms
0,4204.949999999999 ms
0,4217.599999999997 ms
0,4224.449999999999 ms
0,4226.599999999997 ms
0,4234.049999999997 ms
0,4234.249999999998 ms
0,4254.449999999997 ms
0,4265.799999999997 ms
0,4268.999999999998 ms
0,4292.599999999997 ms
0,4293.899999999998 ms
0,4303.749999999998 ms
0,4326.649999999998 ms
0,4339.749999999998 ms
0,4345.799999999997 ms
0,4349.3499999999985 ms
0,4353.5999999999985 ms
0,4372.0999999999985 ms
0,4383.049999999999 ms
0,4397.199999999997 ms
0,4406.999999999998 ms
0,4413.449999999999 ms
0,4414.799999999997 ms
0,4417.3499999999985 ms
0,4421.0999999999985 ms
0,4425.649999999998 ms
0,4431.3499999999985 ms
0,4431.799999999999 ms
0,4432.449999999997 ms
0,4432.949999999997 ms
0,4435.5999999999985 ms
0,4451.549999999997 ms
0,4473.599999999997 ms
0,4474.399999999998 ms
0,4478.899999999998 ms
